market_name,token_id_yes,token_id_no,date_time,market_slug,condition_id
"Ethereum Up or Down - July 18, 10AM ET",81475322102708334976618107058000107548738783235860741489623568052361441172619,114377785478401975279175417607281674685197552192108027048531777199456840242094,2025-07-18 10:00 EDT,ethereum-up-or-down-july-18-10am-et,0xca47d351ac03187168803f04148064a7da42731201eb43112282b70e2b8a6079
"Ethereum Up or Down - July 18, 11AM ET",48587217214193749737981482547058308379514392348170399734133178336632648628250,81250787291890587577369980941339352513034345541348817396901789711754930694963,2025-07-18 11:00 EDT,ethereum-up-or-down-july-18-11am-et,0x841b01bd073058eaae955578be4a0c049e7f298842932d04b5fc84ca19c44069
"Ethereum Up or Down - July 18, 12PM ET",31577739147592445174848666610846290683233458390873621801987923868071517715889,115509124821027125197451012763482748436599531348141846549356437672524875115288,2025-07-18 12:00 EDT,ethereum-up-or-down-july-18-12pm-et,0xddb1245256cfd5c4385cbb0b044ded2b12d8bc877379bfaecaeb4ca7544f2582
"Ethereum Up or Down - July 18, 1PM ET",90395547445627104428128577819387225566570596927376015862667617736102774186051,7627153708277766967686214859941412890059025893354984538111637044457465893912,2025-07-18 13:00 EDT,ethereum-up-or-down-july-18-1pm-et,0x9b0b5174255de6e1875fc83c1f70880aa6fbe701441f7ba1df72d8e11ff15860
"Ethereum Up or Down - July 18, 2PM ET",98887760799601229997604173349826564163537198983201777470402077452916649401442,47809795383062982801301915697848230419979078468723925828413020251419983182461,2025-07-18 14:00 EDT,ethereum-up-or-down-july-18-2pm-et,0x18ab51c95715a6bb3e6d388dcb2855e2915b912041b8bb1f9e0c43c4082e1eb2
"Ethereum Up or Down - July 18, 3PM ET",50388258490496352811421011908793852982213890366332441985530653250706389903505,108097183104848043757713238826373211611948815793981622373346420672510732257382,2025-07-18 15:00 EDT,ethereum-up-or-down-july-18-3pm-et,0xa478ca82d450443734047110abc99bf8ac58b6b20f3d1f57b5f0012d1db0e3c6
"Ethereum Up or Down - July 18, 4PM ET",41280956218040977571882831478192659231020891241880743276695640465055651772417,97169186441794621496615304920881580233583088973532268284331329620900249639784,2025-07-18 16:00 EDT,ethereum-up-or-down-july-18-4pm-et,0x0da20a31e2dd254065e25468dd67ade0c1d04e9bdc1c2a3d6961e9c609f695aa
"Ethereum Up or Down - July 18, 5PM ET",14858983707201621143753235340297490249338989726632452124350475596597115310201,57351328584343929773132661763211633733082127356520735854160862356172475419505,2025-07-18 17:00 EDT,ethereum-up-or-down-july-18-5pm-et,0x5c965740b5be1163237230d6b63f8e40e30c785db91e209881be37947a890837
"Ethereum Up or Down - July 18, 6PM ET",32644609736906172878693430746478133735641790679463928137678058676427748750055,97129352904609963310938253767615015375560018142270749067670036726849253760477,2025-07-18 18:00 EDT,ethereum-up-or-down-july-18-6pm-et,0x9dc6b41d5762efff766242ff825b6e0652525fa8f48a4993ae02a8f9b6ce0ac1
"Ethereum Up or Down - July 18, 7PM ET",19909623229369649072175552251573794647130626005242304112070012927677244537265,63746551185982480726878562721293111354825874703530707713599966322764320821295,2025-07-18 19:00 EDT,ethereum-up-or-down-july-18-7pm-et,0x5e17444e075ea6aa8b556af8778106f7d981a487f81ea66caac3cbfe3a27361c
"Ethereum Up or Down - July 18, 8PM ET",48518343424723018071017246132403275429031383179758452338853564398532513953017,89575709619214869816829705443560536800889848943569148278173412400607415515446,2025-07-18 20:00 EDT,ethereum-up-or-down-july-18-8pm-et,0x3f6e1efb88efd431730302128c9fe6a7db6ad1811ceed18647f656e3346c8499
"Ethereum Up or Down - July 18, 9PM ET",111678635239533018070825384054139229409272082678793150569673560780232439500977,62919891143691530839174066196938638498206899433305984538603913854950430423232,2025-07-18 21:00 EDT,ethereum-up-or-down-july-18-9pm-et,0x717e09f7a5842a25b700c037c9a75a745266d80fc8e4e9925d5d54eb64704b5c
"Ethereum Up or Down - July 18, 10PM ET",26122334712322586278199697220445081173715524458196734426382341165526369905657,37636620482806472789593522803976684690851363321075382430255221825136991224653,2025-07-18 22:00 EDT,ethereum-up-or-down-july-18-10pm-et,0xa01e174e8d966d0db0c86c54c72c725f09e70184130e466b8c82d7452f803ad2
"Ethereum Up or Down - July 18, 11PM ET",50917165222336547885315132141357630324001637153890271068594354985448684139030,35915262100172733263403837363372242739683957630193395803173418021395363418586,2025-07-18 23:00 EDT,ethereum-up-or-down-july-18-11pm-et,0x28bc27e9a29b3756ca072411ca30afaccb4471b97bb913622d9cea02579d17fc
"Ethereum Up or Down - July 19, 12AM ET",104913083060489231622461076124007619619564500667214952828310995857802241198625,95319652316147672659720409318571564776084237856916198101433599729529247287017,2025-07-19 00:00 EDT,ethereum-up-or-down-july-19-12am-et,0x60b908c7578dccd1ce1da0a433af35ed0341d6127fcc60d76139b2ca2e7d3fdb
"Ethereum Up or Down - July 19, 1AM ET",5003131539101308164875779064789056769354220284936575257101933324416955984148,104610630331134584873534273421044247993271160490510643731078678193270448290101,2025-07-19 01:00 EDT,ethereum-up-or-down-july-19-1am-et,0x892e45cc9ff9db8ac445d9e55c9213467c7445a8a72a605eb41f2ac3b450ea88
"Ethereum Up or Down - July 19, 2AM ET",45627921386536717640334801286739357131587937090458630124738767526750318425104,44676788073317639264427011081561996918272748765562206057233329533941799340662,2025-07-19 02:00 EDT,ethereum-up-or-down-july-19-2am-et,0x34a2caefb63b14257aeac1a8ff48c9e758faa0c8091590ac8636e83ed254b713
"Ethereum Up or Down - July 19, 3AM ET",84436593243785389880710964709876796264761451059197439251654127402591973226484,19459157903910723210979815726110170392100876998082986558362384039217019767414,2025-07-19 03:00 EDT,ethereum-up-or-down-july-19-3am-et,0xbe20d04e13763af0d4efc6bc7afe815e6dc47d97cc68377965e81a0932251ec7
"Ethereum Up or Down - July 19, 4AM ET",35020120905698479695731520419068538781156980364653416979030947273406281894087,110759267680010841003266685525326718662042819937897005171467342184556951246963,2025-07-19 04:00 EDT,ethereum-up-or-down-july-19-4am-et,0x81bf53679fc23dc0c16b0a2f5197e67af684d4ef7947e83139e8061025397672
"Ethereum Up or Down - July 19, 5AM ET",113996325257759369923502302553466968403969564621428632106773371979488571810433,58141323565286011123916212204536306414014656976945392875958296393865024576998,2025-07-19 05:00 EDT,ethereum-up-or-down-july-19-5am-et,0x5331ad81b728a1b3a0f50552b7d4500fce552f37c8291f0b3416c31a3ef4fb32
"Ethereum Up or Down - July 19, 6AM ET",74458786435464730339159952165303516471268492956906874747207563767202974320178,38427468931631271205353692600299106994683060226130524853323853477773916724561,2025-07-19 06:00 EDT,ethereum-up-or-down-july-19-6am-et,0x82deb7dceacdc8824bf87b6a81f6dbc5240d90087273d74d2ebc4c1d9130b273
"Ethereum Up or Down - July 19, 7AM ET",79162753259069015074345671675664110925155066532395702320997425998028734226809,3505087829520893441035144897366953044270586985214056617932001390479611454050,2025-07-19 07:00 EDT,ethereum-up-or-down-july-19-7am-et,0x52887360bac4f79c0615f8badd85217424942e95e6d5b58c606e6bf65e5883d5
"Ethereum Up or Down - July 19, 8AM ET",44299591903013991206358907361125779477843912851566813360770901647728531834775,87871817715741167439171684504049752338282695893555647102234415524366496366053,2025-07-19 08:00 EDT,ethereum-up-or-down-july-19-8am-et,0xc040ca76a28ae4f1eae4b89ede7c0516d8d74835f29ff04a78cea399b606a16b
"Ethereum Up or Down - July 19, 9AM ET",80148713059230097037746156471644176753478298758397700927484045663369106963895,16811614363860444351648117669389112930940096185468488967560573093837253029516,2025-07-19 09:00 EDT,ethereum-up-or-down-july-19-9am-et,0x70629d1418b5d3313b8fefe26601d4272557a8502580c446b63b9d097ff75270
"Ethereum Up or Down - July 19, 10AM ET",50949471335761471759436937051327652194460754656721944607186256478964158071030,8678977749003373187001061045279961624731257607953579436986201490997587168544,2025-07-19 10:00 EDT,ethereum-up-or-down-july-19-10am-et,0xa16d7f8b7dc036fb4362f8dadc27596c0690186895ac1285d8c085a4bcb3519a
"Ethereum Up or Down - July 19, 11AM ET",55581148937186416365580183439455186340874906507986335472680163277609929310430,65433541863904393678831928784343439279864785922774994549085776214048975428916,2025-07-19 11:00 EDT,ethereum-up-or-down-july-19-11am-et,0xf5be428f3fab3ae865cc949ce47af4e09095ab70adb34d60d8aafaaced9b972a
"Ethereum Up or Down - July 19, 12PM ET",52528847281455326203240310142435565358207061217136673127849536013536993616080,112390353778741686371067711661953013804881886082554507418164372552266275252646,2025-07-19 12:00 EDT,ethereum-up-or-down-july-19-12pm-et,0x3015218baabb3533a75d6c08e200033e8de5046fbe4d478ed39e9d815eda8ecb
"Ethereum Up or Down - July 19, 1PM ET",16586938212319601359511423302639631171367715642503654026206153866635319548430,1765341577856536601848579021648730606242346281582437921949026465236024097358,2025-07-19 13:00 EDT,ethereum-up-or-down-july-19-1pm-et,0x8770c079017e7475640686f5a0f24563265656493c25427670feef9103a3a61f
"Ethereum Up or Down - July 19, 2PM ET",83203029954644151759389558246757322041898109990408707967486506533951026207388,73715024644931783351739107012251273034183654929910654749297338693438570884287,2025-07-19 14:00 EDT,ethereum-up-or-down-july-19-2pm-et,0xf529d3fda2ece7a017728c647915195e2b40b5c5772fc6749dab18293f6fe40a
"Ethereum Up or Down - July 19, 3PM ET",46125694725937774726319934634572286564007702230242426777144096343900519623558,27289580362912855440091378213026030903172979958821894237564631541720237300450,2025-07-19 15:00 EDT,ethereum-up-or-down-july-19-3pm-et,0x03d145ebe5029270a06903245ca832c6ad2b3cc1fed1b32e56ffe03e5619937e
"Ethereum Up or Down - July 19, 4PM ET",10373030994676384890185773532492929424688032655584145812856905943699429767851,39208605804257209220537306223291213661782477035310198009547130626009062675656,2025-07-19 16:00 EDT,ethereum-up-or-down-july-19-4pm-et,0x5225cdd0f3b1fa0f1156dffe0b92f7d80668a7e760c3135f53e023081abecbb3
"Ethereum Up or Down - July 19, 5PM ET",34412536083542522473550271487117419873771120055266883457410332950763076563523,5937483345702313339198688427696780986961323959173411138021021678899941653114,2025-07-19 17:00 EDT,ethereum-up-or-down-july-19-5pm-et,0x6172376ab35ac485d40a5f10454ffc1102013c5e1edb274b4c7efbcd88976bc8
"Ethereum Up or Down - July 19, 6PM ET",35950221551223831636810106367846664216330272240615849892810018409969243266750,77955910537657128953764241429778146703054714125486240710255930201464573358320,2025-07-19 18:00 EDT,ethereum-up-or-down-july-19-6pm-et,0x3d7595a4b32e659dc91096c29d7418b3ea6f124a17dbed5fe35b720691336031
"Ethereum Up or Down - July 19, 7PM ET",56991787148524745258629713658962972254596389886348454162448541033838958834071,71157273957319090149808664663531546057004744750620370290159565832301037548683,2025-07-19 19:00 EDT,ethereum-up-or-down-july-19-7pm-et,0xe7d13b600bb812a3e6c09e23b22ea2fff5b4f0fcd0c2818bbb8c86d6c7b2e48c
"Ethereum Up or Down - July 19, 8PM ET",24210583735944931311701003672356091845709780261032489228079829873973869722106,1944502985117579010201694651707507115568692813441697569379442088822464959889,2025-07-19 20:00 EDT,ethereum-up-or-down-july-19-8pm-et,0x444700f76b4bca9266fd065d4330462176e0624adb9960f3fa48c11e71c95c41
"Ethereum Up or Down - July 19, 9PM ET",75952309063633605023633237991818244129239348522620705008797164723194403466179,34883646763254463324759537837403658702746379794443960867086161452333685484366,2025-07-19 21:00 EDT,ethereum-up-or-down-july-19-9pm-et,0x8abb9190b5ab46fd677fa191b22b78c7a331fb0c03331c6f50b12191bd303961
"Ethereum Up or Down - July 19, 10PM ET",19319481122161352441759002937793369692692844618255310945081407797021057272459,6891363829956556616888949070483581574663195461124527245178209682742537217234,2025-07-19 22:00 EDT,ethereum-up-or-down-july-19-10pm-et,0xcaa48d0bcbc62bf3a363d177ff7e62a92e86bde526e51d4781f999d8a41fd572
"Ethereum Up or Down - July 19, 11PM ET",54779996560523539565810912101576572214694662018667272755791412145286694123755,112045875068858264016108140269706008337146110210686977998072453871069238016269,2025-07-19 23:00 EDT,ethereum-up-or-down-july-19-11pm-et,0xc7cd04586136e78b01cb152b5c956093dc989e10bdd1ab9a70630c51fb56f8ad
"Ethereum Up or Down - July 20, 12AM ET",112317174148377908537781055705401365570955951774337277288472950844848442126670,114445832396335764058818486828953955552668246468570763464702144898297920726680,2025-07-20 00:00 EDT,ethereum-up-or-down-july-20-12am-et,0xa794600ccf6000a7d4b64e423f55db2a8b990e34aa1c2550e7f7380c459e85e1
"Ethereum Up or Down - July 20, 1AM ET",88134260861331654558816728199898893127261161868122290129401614826744189845494,11053491039176482817762309596636513719577243831875467541339334172512831517284,2025-07-20 01:00 EDT,ethereum-up-or-down-july-20-1am-et,0x2638201d06ea70894a1a5a4f7ed02ad7be1fb2917bc325f2c51e724fe735ba69
"Ethereum Up or Down - July 20, 2AM ET",21979599498327569060593357526069733702554482453055561723425089497914866567792,56220883599490839138461419745433861451812280013576775755747943987738340822904,2025-07-20 02:00 EDT,ethereum-up-or-down-july-20-2am-et,0xbceb54bddd11985272ac57dd38fbc10a83d6ce0d27aed88bbbe3407a88c8e14c
"Ethereum Up or Down - July 20, 3AM ET",110251773734160309832869086459034501807859780649374419397386781382659948642593,12686810313515532107386723196028078068857110590122137763841447320976225918152,2025-07-20 03:00 EDT,ethereum-up-or-down-july-20-3am-et,0xc23c79c4790e3111fd3d7b270ae36f0a294e08a50d6abf53c45bff4674d0a184
"Ethereum Up or Down - July 20, 4AM ET",97199744607128346378681497286584812574804727236861871060091122309616827098839,110439692020905295921531929436644465221488639813519909051771449286451585332502,2025-07-20 04:00 EDT,ethereum-up-or-down-july-20-4am-et,0xb8e743e75fa50910b99dba02974a7cd906d3815f8cfd35f17f83a2a4e5adad19
"Ethereum Up or Down - July 20, 5AM ET",12665920708888659796315489252648961224387222283439958890410641830535663220827,82800183015253635732524158730760125957445931355908034212225153003814276451713,2025-07-20 05:00 EDT,ethereum-up-or-down-july-20-5am-et,0x500a8eb32a6d824d57d1e2ac29b40e3b3dbad867a8a171f055cb231744c77787
"Ethereum Up or Down - July 20, 6AM ET",85925854387285034372530537658889718362940024023947621353688757113882561899058,56147002232492871302389647134909562466115855566833440007279574750992908095719,2025-07-20 06:00 EDT,ethereum-up-or-down-july-20-6am-et,0xdd48f80e7460d1c4b07a8367a92524c990cede716df3993c1da4c7f52cc78d06
"Ethereum Up or Down - July 20, 7AM ET",2317175068312038319808959870541471871297391443186619467436037245190729851221,44805681882805191033110087435628394312764023165047693990893966099839205079391,2025-07-20 07:00 EDT,ethereum-up-or-down-july-20-7am-et,0x6cc6e6336d3dded0ae107c87d5333af8108c5ef356bdb3d6d450d17e455e2f04
"Ethereum Up or Down - July 20, 8AM ET",76465014051112525648665546716037116823185942988911157650041103460725796974831,105334154931458929968266916142512661406102425196769245797394482954782823001702,2025-07-20 08:00 EDT,ethereum-up-or-down-july-20-8am-et,0x797463a21790eb5a2a500d4803a168ce0da54330d6167eb46937e24762fee740
"Ethereum Up or Down - July 20, 9AM ET",10897804105378622927778193977694702150268107999546947472781308443969612335761,71501764810946696205703341906275394520402540582848528643811670386856006941423,2025-07-20 09:00 EDT,ethereum-up-or-down-july-20-9am-et,0xff0149fed01700f35a9a61b4ac36c7d303a5cf8b20a3bb7452e27cb436fb412e
"Ethereum Up or Down - July 20, 10AM ET",70099333661787450393737111944264622176952295343029364888039449905785288881283,25982600441767480520280286949387023244448374702395571700073869840402095566310,2025-07-20 10:00 EDT,ethereum-up-or-down-july-20-10am-et,0x1f9a0024818c544a8e50aca65f5740d19dcac93f0547ba33a644a28af915badf
"Ethereum Up or Down - July 20, 11AM ET",3787152729272341209478534560778054524818264877032091136340927170125271661656,62037514944736325567588304589880836230026979165347765470789649577476311637622,2025-07-20 11:00 EDT,ethereum-up-or-down-july-20-11am-et,0xae873d60fd5818f22d29818ac7f90e97054442805f338f8321048c3eb65aa90d
"Ethereum Up or Down - July 20, 12PM ET",13554327936902482029076064670453566508138449140608611717688102159140752044582,5450192204738457842143026397359138668151470181333562984059543590213502656893,2025-07-20 12:00 EDT,ethereum-up-or-down-july-20-12pm-et,0x1d8cfb02797f123ff95a777e3d407ff4af17f6f8609c7ce4d95080dc3679edff
"Ethereum Up or Down - July 20, 1PM ET",11696456180884158040978880509207892680196494828580668319890481555141691274119,18732512173119954939403769979031171523341544249965265005495924312691417573507,2025-07-20 13:00 EDT,ethereum-up-or-down-july-20-1pm-et,0xe8c83fadc54e5220a5e082e90980f909faa51f60d69528075eab19de48882bf0
"Ethereum Up or Down - July 20, 2PM ET",9563894195948963482234238014199123009925655332953691970274742164198238577723,98402921856571848622852957379040465097044444408900056598473286585394976568802,2025-07-20 14:00 EDT,ethereum-up-or-down-july-20-2pm-et,0x3e501a58f089fae4acdfeec66015a5298369fb9ed64e910e4cd16ee138161a57
"Ethereum Up or Down - July 20, 3PM ET",105532262290186931508454961373379174785667573696772970222549626010622692841166,56718488124963341563523177659947555103754297661701603016743347090703603160646,2025-07-20 15:00 EDT,ethereum-up-or-down-july-20-3pm-et,0xbd2a3181afe287d406e6bf08b901261ce892b5f38f725c169578bb4395c6f356
"Ethereum Up or Down - July 20, 4PM ET",310257522286360360119028636864781344478787621954384620130158064851691433220,56430822978749659932286553569027764035930759166957331490771322788921823886109,2025-07-20 16:00 EDT,ethereum-up-or-down-july-20-4pm-et,0xf275e7df4319e9ab7b57d9cf2db4040bf65dbe94b150272db79f1ab6bf8df118
"Ethereum Up or Down - July 20, 5PM ET",39915476335732022870736905986972643277955894813833709276072368089548563078648,75158768341010679872517015253840866733114672636944999049309104211928795678250,2025-07-20 17:00 EDT,ethereum-up-or-down-july-20-5pm-et,0x9561617c7ea81630c564593a2286e0fbbe28d3e8a505c88e79152d5e2ae61e45
"Ethereum Up or Down - July 20, 6PM ET",65240592522133863251241330835579926343594553032146845169936523362130371277954,12271966356166109056438161435123884875225398460375097496283057107178139201801,2025-07-20 18:00 EDT,ethereum-up-or-down-july-20-6pm-et,0x207f2e001715cace41d499d81982a18f07d0c6ff4fafd8abd3b6bd4867cea6e3
"Ethereum Up or Down - July 20, 7PM ET",5828473367830583148807881960330363018310228272472811307812640699528788194665,34777545352290756252487491797669422645637373761553556740555663932874490112695,2025-07-20 19:00 EDT,ethereum-up-or-down-july-20-7pm-et,0x9efd013fca0f34a71bb82c787424411964da0a27151b696feebaf6354248b6f5
"Ethereum Up or Down - July 20, 8PM ET",92124044092491040492433116903903860130275748112357995948533998417671689294708,56342765084585041913483847607277413412740190340674701528817515037782586190393,2025-07-20 20:00 EDT,ethereum-up-or-down-july-20-8pm-et,0xdfda165ecd75cde995273caeaa02af83e535e58866a32177439ebb634e49f070
"Ethereum Up or Down - July 20, 9PM ET",86217438850867644939277926921361754188735300407067204326598031746525974798734,110127372367490782623035918309952017008675952871873510416655049260224251357698,2025-07-20 21:00 EDT,ethereum-up-or-down-july-20-9pm-et,0xeffc6ef76c230108421946909904ea7ed58f867a8182557328a3df38cc922acb
"Ethereum Up or Down - July 20, 10PM ET",39136204280317247815227573645511169768961809244184394853237816227085350770503,76412500839855973403042129496788023439688779410998967998690334018344737813842,2025-07-20 22:00 EDT,ethereum-up-or-down-july-20-10pm-et,0xcf035cb7d6d8ee874e2dfa504359c2056c06a393f283745d31d1b9fae6133d85
"Ethereum Up or Down - July 20, 11PM ET",42411153963888341296156979011543063869505840646858375103481829876729662235782,39901435928730084725715597908366838742528904117070286368881028212146571448019,2025-07-20 23:00 EDT,ethereum-up-or-down-july-20-11pm-et,0xe91cb80769cfd501fe303b91350a7ba199efc31df90776f9f2ba7feb92d3bbd4
"Ethereum Up or Down - July 21, 12AM ET",90186967264777408412220740354541322276631107233797919156790707837382098405699,100778215597734342678623380124195394245729165167950566912873093298531516716458,2025-07-21 00:00 EDT,ethereum-up-or-down-july-21-12am-et,0x6813ed902912b823cfbd8cd30e004d73b74d5479560d120778cf8f37ad01551c
"Ethereum Up or Down - July 21, 1AM ET",78101557088409554969128049097386275751384825697316052340765337785875204913141,55264069311961060066820124782820697356859657129315070211753218182238852633040,2025-07-21 01:00 EDT,ethereum-up-or-down-july-21-1am-et,0x76c77981a7474f4149580bd74b8ecbefec79c728f13508e154483e85405a2c98
"Ethereum Up or Down - July 21, 2AM ET",3327160970204934543461494251373738719419367109375074922199396225245315627087,24224776062341421658470601063732251339385952701503754698467626832807252458224,2025-07-21 02:00 EDT,ethereum-up-or-down-july-21-2am-et,0xe37bf8f7b266822cde9d05ba5b8a377396fc9a800607ee87ebc123997a7a8341
"Ethereum Up or Down - July 21, 3AM ET",63223507919331759369607293833972848069651565837618318286166209295555305003926,85199517739806156298605989261489057574749371788838582182658222824901258973206,2025-07-21 03:00 EDT,ethereum-up-or-down-july-21-3am-et,0x60a3750901a2c866aaa68d2a430d2775b060b0ba419043ffbb8cd2055e8274ba
"Ethereum Up or Down - July 21, 4AM ET",115357992097516689631735460513138099936812341211316081560063495764765847191017,111707428868448047175388253406021124714591842682376922680031560356860355884856,2025-07-21 04:00 EDT,ethereum-up-or-down-july-21-4am-et,0xd77b1ee306d40826ed21f21a3287cf92158dd59f99ea77ee99cc8a9366eec390
"Ethereum Up or Down - July 21, 5AM ET",50582801242032933145525788743415660377372021806084059441152683965709615197844,57696440887312638838920557427808727361146223707754385911880571068547029423637,2025-07-21 05:00 EDT,ethereum-up-or-down-july-21-5am-et,0x80b5a3354c824ce18c9731fb3999aa4ddc48d2bc7fc0afa2da253e8c8939015c
"Ethereum Up or Down - July 21, 6AM ET",82048380916865176386289624106902622530484444950436948959713334849257464386847,39430893367973222640241087542829151885342538233751933184368681379726912604183,2025-07-21 06:00 EDT,ethereum-up-or-down-july-21-6am-et,0xf95d35ff9011dc99d4578c8dc6db5d0931e79c811d9d888b34310b53726de996
"Ethereum Up or Down - July 21, 7AM ET",67420163299490955429182624713259708493449170965537761264117704718172644245452,42398272755637951763233870659028363737824875734936734636552767081663437695130,2025-07-21 07:00 EDT,ethereum-up-or-down-july-21-7am-et,0x12a2c0a9d95656b6e90ed196054a340e87a29dc64ecffcbb8ff78114607a7cbd
"Ethereum Up or Down - July 21, 8AM ET",17374069584284176072205166881435393031215938451797019513485740355011878072813,16642903302830592645089324198524737077840829607676765156614672274149490444349,2025-07-21 08:00 EDT,ethereum-up-or-down-july-21-8am-et,0x599aa88f8de1d0c5154a1366ba344bc184e8bfde4ba2aaa4a92f2ca1bbc665c6
"Ethereum Up or Down - July 21, 9AM ET",107530023328734145933067065284775741299631114406242791496929504393180360513563,51248641783001640382761281147370364314777409338303911579371598150705520900707,2025-07-21 09:00 EDT,ethereum-up-or-down-july-21-9am-et,0x3e47f0431468b1c8375c64abad3dd5739da033591c54e0336f88829db3c5cc93
"Ethereum Up or Down - July 21, 10AM ET",43714535727459398912011137324933325025263685738383983683649968377108097481459,66383042551274507278412694624895618324813024750251501921213362143361474131036,2025-07-21 10:00 EDT,ethereum-up-or-down-july-21-10am-et,0x2f02e8354dd50d31741dfe91408664746bb1ede0c845be40277aad110aa8eda2
"Ethereum Up or Down - July 21, 11AM ET",41768340332449653687214396444186151718533209364176512649247630778823793857585,92987604897786211986480901007460468098770372701338525214144154781754491001188,2025-07-21 11:00 EDT,ethereum-up-or-down-july-21-11am-et,0x91ddf86e42f0350e688228a132647f6a804aa7147e52155b094989f62376fc7d
"Ethereum Up or Down - July 21, 12PM ET",614702181856689008362560895802253041226519309099019443865120363399380485376,112847051716510033416833492980923577911408151312357068955067432350612005619830,2025-07-21 12:00 EDT,ethereum-up-or-down-july-21-12pm-et,0x2be203ab9f8560910d90c30a623f2aa60739a7d86cbeb4b5d57fa8deb7e0a0b4
"Ethereum Up or Down - July 21, 1PM ET",81699612402127735074960001964154124936841484344783041899382618694518317631166,75019827651047953658479503541641016413475964320077253898551205706468872742925,2025-07-21 13:00 EDT,ethereum-up-or-down-july-21-1pm-et,0x77f49b788ca4293bef19a4718eb05a34a8e6824b693ad354cb2ed319e8c77bde
"Ethereum Up or Down - July 21, 2PM ET",57799634344198741314279360869628974661337757289823358294897648852491845480030,69169789513032970979526740084309563612076483348041932721039833769182772871187,2025-07-21 14:00 EDT,ethereum-up-or-down-july-21-2pm-et,0xca85244a2c4eb278973571e4d0195b60e878255846330f30991f24ceeeff2b6e
"Ethereum Up or Down - July 21, 3PM ET",58552674073665434783557387372551289362524141456584738266751534753120731660304,42462338320445792981036407515282114840261278311845771234440756893473857589264,2025-07-21 15:00 EDT,ethereum-up-or-down-july-21-3pm-et,0x470933e0490c4e686da7ca9f9987aedb1983a545cd35032cced65e618d6d4e32
